fund_id,fund_name,asset_name,weight_pct,isin,reason
FND2208,NEW ZEALAND SHARE FUND,Total (127 Holdings),100.0,,no master match
FND1067,FISHER FUNDS TRANS TASMAN EQUITY TRUST,SELL AUD:BUY NZD 07/11/25 07/11/2025,-20.73,,classified as fx
FND1067,FISHER FUNDS TRANS TASMAN EQUITY TRUST,BUY NZD:SELL AUD 07/11/25 07/11/2025,19.86,,classified as fx
FND1067,FISHER FUNDS TRANS TASMAN EQUITY TRUST,SELL AUD:BUY NZD 04/12/25 04/12/2025,-18.04,,classified as fx
FND1067,FISHER FUNDS TRANS TASMAN EQUITY TRUST,BUY NZD:SELL AUD 04/12/25 04/12/2025,17.58,,classified as fx
FND2935,SBS WEALTH AUSTRALASIAN EQUITY PORTFOLIO,Dimensional Australian Sustainability PIE Fund,17.53,,no master match
FND1425,HARBOUR AUSTRALASIAN EQUITY FOCUS FUND,SELL AUD:BUY NZD 12/12/2025,-10.14,,classified as fx
FND1425,HARBOUR AUSTRALASIAN EQUITY FOCUS FUND,BUY NZD:SELL AUD 12/12/2025,9.95,,classified as fx
FND1208,FISHER FUNDS NEW ZEALAND GROWTH FUND,SELL AUD:BUY NZD 04/12/25 04/12/2025,-8.18,,classified as fx
FND1240,FISHER FUNDS PREMIUM NEW ZEALAND FUND,SELL AUD:BUY NZD 04/12/25 04/12/2025,-8.17,,classified as fx
FND1208,FISHER FUNDS NEW ZEALAND GROWTH FUND,BUY NZD:SELL AUD 04/12/25 04/12/2025,7.97,,classified as fx
FND1240,FISHER FUNDS PREMIUM NEW ZEALAND FUND,BUY NZD:SELL AUD 04/12/25 04/12/2025,7.96,,classified as fx
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,SELL AUD:BUY NZD 12/12/2025,-6.79,,classified as fx
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,BUY NZD:SELL AUD 12/12/2025,6.65,,classified as fx
FND326,QUAYSTREET NEW ZEALAND EQUITY FUND,CASH ANZNZ (NZD),6.4,,classified as cash
FND1425,HARBOUR AUSTRALASIAN EQUITY FOCUS FUND,Life360,5.01,,no master match
FND1623,NEW ZEALAND AND AUSTRALIAN SHARES,Goldman Sachs Futures,4.31,,no master match
FND2935,SBS WEALTH AUSTRALASIAN EQUITY PORTFOLIO,Cash Deposit (ANZ Bank),4.17,,classified as cash
FND16067,CLARITY NEW ZEALAND EQUITY FUND,NZD Cash at Bank,4.02,,no master match
FND967,AUSTRALIAN EQUITIES FUND (OCTAGON),Australia and New Zealand Banking Group Limited,3.91,,no master match
FND1623,NEW ZEALAND AND AUSTRALIAN SHARES,Westpac Cash,3.45,,classified as cash
FND1425,HARBOUR AUSTRALASIAN EQUITY FOCUS FUND,Challenger,3.34,,no master match
FND1425,HARBOUR AUSTRALASIAN EQUITY FOCUS FUND,Telix Pharmaceuticals,3.33,,no master match
FND44367,GENERATE AUSTRALASIAN MANAGED FUND,NZD Total Cash at Bank,3.04,,no master match
FND1067,FISHER FUNDS TRANS TASMAN EQUITY TRUST,ANZ 10 A/C - Current Accounts,2.95,,classified as cash
FND1240,FISHER FUNDS PREMIUM NEW ZEALAND FUND,ANZ 10 A/C - Current Accounts,2.78,,classified as cash
FND1208,FISHER FUNDS NEW ZEALAND GROWTH FUND,ANZ 10 A/C - Current Accounts,2.64,,classified as cash
FND900,MINT AUSTRALASIAN EQUITY FUND,Telix Pharmaceuticals Ltd,2.55,,no master match
FND1067,FISHER FUNDS TRANS TASMAN EQUITY TRUST,Seek Limited,2.49,,no master match
FND1067,FISHER FUNDS TRANS TASMAN EQUITY TRUST,Brambles Limited,2.43,,no master match
FND2935,SBS WEALTH AUSTRALASIAN EQUITY PORTFOLIO,Precinct Prop NZ Ltd & Prec Prop Inv Lt,2.36,,no master match
FND1067,FISHER FUNDS TRANS TASMAN EQUITY TRUST,Johns Lyng Group Limited,2.29,,no master match
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,Life360,2.17,,no master match
FND1067,FISHER FUNDS TRANS TASMAN EQUITY TRUST,SELL USD:BUY NZD 04/12/25 04/12/2025,-2.17,,classified as fx
FND1067,FISHER FUNDS TRANS TASMAN EQUITY TRUST,BUY NZD:SELL USD 04/12/25 04/12/2025,2.13,,classified as fx
FND22677,MINT NEW ZEALAND SRI EQUITY FUND,Cash at Bank,2.11,,classified as cash
FND901,CLARITY TRANS-TASMAN VALUE FUND,NZD Cash at Bank,2.1,,no master match
FND1067,FISHER FUNDS TRANS TASMAN EQUITY TRUST,AUB Group Limited,2.09,,no master match
FND1067,FISHER FUNDS TRANS TASMAN EQUITY TRUST,Atlassian Corp,2.06,,no master match
FND1623,NEW ZEALAND AND AUSTRALIAN SHARES,Citibank Australia Cash,2.04,,classified as cash
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,Challenger,2.02,,no master match
FND900,MINT AUSTRALASIAN EQUITY FUND,SRG Global Ltd,1.97,,no master match
FND1505,DEVON TRANS-TASMAN FUND,AUD Cash at Bank,1.86,,no master match
FND44367,GENERATE AUSTRALASIAN MANAGED FUND,Aust and NZ Banking Group,1.85,,no master match
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,Telix Pharmaceuticals,1.79,,no master match
FND1067,FISHER FUNDS TRANS TASMAN EQUITY TRUST,Fineos Corporation Holdings PLC,1.7,,no master match
FND900,MINT AUSTRALASIAN EQUITY FUND,Challenger Financial Service,1.64,,no master match
FND1505,DEVON TRANS-TASMAN FUND,GPT Group,1.6,,no master match
FND1067,FISHER FUNDS TRANS TASMAN EQUITY TRUST,Maas Group Holdings Limited,1.58,,no master match
FND44367,GENERATE AUSTRALASIAN MANAGED FUND,HomeCo Daily Needs REIT,1.57,,no master match
FND1505,DEVON TRANS-TASMAN FUND,Dalrymple Bay Infrastructure Ltd,1.56,,no master match
FND1505,DEVON TRANS-TASMAN FUND,AUB Group Limited,1.53,,no master match
FND16067,CLARITY NEW ZEALAND EQUITY FUND,AFT Pharmaceuticals Ltd,1.51,,no master match
FND1425,HARBOUR AUSTRALASIAN EQUITY FOCUS FUND,Aroa Biosurgery,1.5,,no master match
FND901,CLARITY TRANS-TASMAN VALUE FUND,Capstone Copper Corp,1.49,,no master match
FND901,CLARITY TRANS-TASMAN VALUE FUND,AFT Pharmaceuticals Ltd,1.48,,no master match
FND1067,FISHER FUNDS TRANS TASMAN EQUITY TRUST,Credit Corp Group Limited,1.47,,no master match
FND16067,CLARITY NEW ZEALAND EQUITY FUND,Sky City Entertainment Group,1.45,,no master match
FND967,AUSTRALIAN EQUITIES FUND (OCTAGON),Viva Energy Group Limited,1.4,,no master match
