tag,fund_id,fund_name,provider,scheme,fund_type,fees_pct,total_value_nzd,portfolio_xlsx_url,sorted_url
1,FND22677,MINT NEW ZEALAND SRI EQUITY FUND,MINT ASSET MANAGEMENT LIMITED,MINT ASSET MANAGEMENT FUNDS,Aggressive,0.96,76954951,https://smartinvestor.sorted.org.nz/disclose-document/full-portfolio/FND22677/MINT-NEW-ZEALAND-SRI-EQUITY-FUND-FND22677-Full-portfolio-holdings-31-December-2025.xlsx,https://smartinvestor.sorted.org.nz/kiwisaver-and-managed-funds/SCH10787/OFR10827/FND22677/
1,FND2208,NEW ZEALAND SHARE FUND,ANZ NEW ZEALAND INVESTMENTS LIMITED,ANZ INVESTMENTS SINGLE-ASSET-CLASS SCHEME,Aggressive,1.05,53707276.95,https://smartinvestor.sorted.org.nz/disclose-document/full-portfolio/FND2208/NEW-ZEALAND-SHARE-FUND-FND2208-Full-portfolio-holdings-31-December-2025.xlsx,https://smartinvestor.sorted.org.nz/kiwisaver-and-managed-funds/SCH11065/OFR11077/FND2208/
1,FND901,CLARITY TRANS-TASMAN VALUE FUND,CLARITY FUNDS MANAGEMENT LIMITED,CLARITY FUNDS SCHEME,Aggressive,1.07,134010784,https://smartinvestor.sorted.org.nz/disclose-document/full-portfolio/FND901/CLARITY-TRANS-TASMAN-VALUE-FUND-FND901-Full-portfolio-holdings-31-December-2025.xlsx,https://smartinvestor.sorted.org.nz/kiwisaver-and-managed-funds/SCH10600/OFR10601/FND901/
1,FND16067,CLARITY NEW ZEALAND EQUITY FUND,CLARITY FUNDS MANAGEMENT LIMITED,CLARITY FUNDS SCHEME,Aggressive,1.08,11975275.53,https://smartinvestor.sorted.org.nz/disclose-document/full-portfolio/FND16067/CLARITY-NEW-ZEALAND-EQUITY-FUND-FND16067-Full-portfolio-holdings-31-December-2025.xlsx,https://smartinvestor.sorted.org.nz/kiwisaver-and-managed-funds/SCH10600/OFR10601/FND16067/
1,FND20455,SALT CORE NZ SHARES FUND,SALT INVESTMENT FUNDS LIMITED,SALT INVESTMENT FUNDS,Aggressive,1.1,103431371,https://smartinvestor.sorted.org.nz/disclose-document/full-portfolio/FND20455/SALT-CORE-NZ-SHARES-FUND-FND20455-Full-portfolio-holdings-31-December-2025.xlsx,https://smartinvestor.sorted.org.nz/kiwisaver-and-managed-funds/SCH10872/OFR10881/FND20455/
1,FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,HARBOUR ASSET MANAGEMENT LIMITED,HARBOUR INVESTMENT FUNDS,Aggressive,1.12,117408159.3,https://smartinvestor.sorted.org.nz/disclose-document/full-portfolio/FND1421/HARBOUR-AUSTRALASIAN-EQUITY-FUND-FND1421-Full-portfolio-holdings-31-December-2025.xlsx,https://smartinvestor.sorted.org.nz/kiwisaver-and-managed-funds/SCH10815/OFR10909/FND1421/
1,FND1240,FISHER FUNDS PREMIUM NEW ZEALAND FUND,FISHER FUNDS MANAGEMENT LIMITED,FISHER FUNDS PREMIUM SERVICE,Aggressive,1.14,202311743,https://smartinvestor.sorted.org.nz/disclose-document/full-portfolio/FND1240/FISHER-FUNDS-PREMIUM-NEW-ZEALAND-FUND-FND1240-Full-portfolio-holdings-31-December-2025.xlsx,https://smartinvestor.sorted.org.nz/kiwisaver-and-managed-funds/SCH10641/OFR10668/FND1240/
1,FND44367,GENERATE AUSTRALASIAN MANAGED FUND,GENERATE INVESTMENT MANAGEMENT LIMITED,GENERATE UNIT TRUST SCHEME,Aggressive,1.14,3213944,https://smartinvestor.sorted.org.nz/disclose-document/full-portfolio/FND44367/GENERATE-AUSTRALASIAN-MANAGED-FUND-FND44367-Full-portfolio-holdings-31-December-2025.xlsx,https://smartinvestor.sorted.org.nz/kiwisaver-and-managed-funds/SCH12736/OFR12737/FND44367/
1,FND806,NEW ZEALAND EQUITIES FUND (OCTAGON),FORSYTH BARR INVESTMENT MANAGEMENT LIMITED,OCTAGON INVESTMENT FUNDS,Aggressive,1.17,160953014,https://smartinvestor.sorted.org.nz/disclose-document/full-portfolio/FND806/NEW-ZEALAND-EQUITIES-FUND-FND806-Full-portfolio-holdings-31-December-2025.xlsx,https://smartinvestor.sorted.org.nz/kiwisaver-and-managed-funds/SCH10647/OFR10802/FND806/
1,FND967,AUSTRALIAN EQUITIES FUND (OCTAGON),FORSYTH BARR INVESTMENT MANAGEMENT LIMITED,OCTAGON INVESTMENT FUNDS,Aggressive,1.17,121458373.7,https://smartinvestor.sorted.org.nz/disclose-document/full-portfolio/FND967/AUSTRALIAN-EQUITIES-FUND-FND967-Full-portfolio-holdings-31-December-2025.xlsx,https://smartinvestor.sorted.org.nz/kiwisaver-and-managed-funds/SCH10647/OFR10802/FND967/
